vulgate_number,hebrew_reference,notes,source
1,1,,https://en.wikipedia.org/wiki/Psalms#Numbering
2,2,,https://en.wikipedia.org/wiki/Psalms#Numbering
3,3,,https://en.wikipedia.org/wiki/Psalms#Numbering
4,4,,https://en.wikipedia.org/wiki/Psalms#Numbering
5,5,,https://en.wikipedia.org/wiki/Psalms#Numbering
6,6,,https://en.wikipedia.org/wiki/Psalms#Numbering
7,7,,https://en.wikipedia.org/wiki/Psalms#Numbering
8,8,,https://en.wikipedia.org/wiki/Psalms#Numbering
9,9-10,Requires range handling,https://en.wikipedia.org/wiki/Psalms#Numbering
10,11,,https://en.wikipedia.org/wiki/Psalms#Numbering
11,12,,https://en.wikipedia.org/wiki/Psalms#Numbering
12,13,,https://en.wikipedia.org/wiki/Psalms#Numbering
13,14,,https://en.wikipedia.org/wiki/Psalms#Numbering
14,15,,https://en.wikipedia.org/wiki/Psalms#Numbering
15,16,,https://en.wikipedia.org/wiki/Psalms#Numbering
16,17,,https://en.wikipedia.org/wiki/Psalms#Numbering
17,18,,https://en.wikipedia.org/wiki/Psalms#Numbering
18,19,,https://en.wikipedia.org/wiki/Psalms#Numbering
19,20,,https://en.wikipedia.org/wiki/Psalms#Numbering
20,21,,https://en.wikipedia.org/wiki/Psalms#Numbering
21,22,,https://en.wikipedia.org/wiki/Psalms#Numbering
22,23,,https://en.wikipedia.org/wiki/Psalms#Numbering
23,24,,https://en.wikipedia.org/wiki/Psalms#Numbering
24,25,,https://en.wikipedia.org/wiki/Psalms#Numbering
25,26,,https://en.wikipedia.org/wiki/Psalms#Numbering
26,27,,https://en.wikipedia.org/wiki/Psalms#Numbering
27,28,,https://en.wikipedia.org/wiki/Psalms#Numbering
28,29,,https://en.wikipedia.org/wiki/Psalms#Numbering
29,30,,https://en.wikipedia.org/wiki/Psalms#Numbering
30,31,,https://en.wikipedia.org/wiki/Psalms#Numbering
31,32,,https://en.wikipedia.org/wiki/Psalms#Numbering
32,33,,https://en.wikipedia.org/wiki/Psalms#Numbering
33,34,,https://en.wikipedia.org/wiki/Psalms#Numbering
34,35,,https://en.wikipedia.org/wiki/Psalms#Numbering
35,36,,https://en.wikipedia.org/wiki/Psalms#Numbering
36,37,,https://en.wikipedia.org/wiki/Psalms#Numbering
37,38,,https://en.wikipedia.org/wiki/Psalms#Numbering
38,39,,https://en.wikipedia.org/wiki/Psalms#Numbering
39,40,,https://en.wikipedia.org/wiki/Psalms#Numbering
40,41,,https://en.wikipedia.org/wiki/Psalms#Numbering
41,42,,https://en.wikipedia.org/wiki/Psalms#Numbering
42,43,,https://en.wikipedia.org/wiki/Psalms#Numbering
43,44,,https://en.wikipedia.org/wiki/Psalms#Numbering
44,45,,https://en.wikipedia.org/wiki/Psalms#Numbering
45,46,,https://en.wikipedia.org/wiki/Psalms#Numbering
46,47,,https://en.wikipedia.org/wiki/Psalms#Numbering
47,48,,https://en.wikipedia.org/wiki/Psalms#Numbering
48,49,,https://en.wikipedia.org/wiki/Psalms#Numbering
49,50,,https://en.wikipedia.org/wiki/Psalms#Numbering
50,51,,https://en.wikipedia.org/wiki/Psalms#Numbering
51,52,,https://en.wikipedia.org/wiki/Psalms#Numbering
52,53,,https://en.wikipedia.org/wiki/Psalms#Numbering
53,54,,https://en.wikipedia.org/wiki/Psalms#Numbering
54,55,,https://en.wikipedia.org/wiki/Psalms#Numbering
55,56,,https://en.wikipedia.org/wiki/Psalms#Numbering
56,57,,https://en.wikipedia.org/wiki/Psalms#Numbering
57,58,,https://en.wikipedia.org/wiki/Psalms#Numbering
58,59,,https://en.wikipedia.org/wiki/Psalms#Numbering
59,60,,https://en.wikipedia.org/wiki/Psalms#Numbering
60,61,,https://en.wikipedia.org/wiki/Psalms#Numbering
61,62,,https://en.wikipedia.org/wiki/Psalms#Numbering
62,63,,https://en.wikipedia.org/wiki/Psalms#Numbering
63,64,,https://en.wikipedia.org/wiki/Psalms#Numbering
64,65,,https://en.wikipedia.org/wiki/Psalms#Numbering
65,66,,https://en.wikipedia.org/wiki/Psalms#Numbering
66,67,,https://en.wikipedia.org/wiki/Psalms#Numbering
67,68,,https://en.wikipedia.org/wiki/Psalms#Numbering
68,69,,https://en.wikipedia.org/wiki/Psalms#Numbering
69,70,,https://en.wikipedia.org/wiki/Psalms#Numbering
70,71,,https://en.wikipedia.org/wiki/Psalms#Numbering
71,72,,https://en.wikipedia.org/wiki/Psalms#Numbering
72,73,,https://en.wikipedia.org/wiki/Psalms#Numbering
73,74,,https://en.wikipedia.org/wiki/Psalms#Numbering
74,75,,https://en.wikipedia.org/wiki/Psalms#Numbering
75,76,,https://en.wikipedia.org/wiki/Psalms#Numbering
76,77,,https://en.wikipedia.org/wiki/Psalms#Numbering
77,78,,https://en.wikipedia.org/wiki/Psalms#Numbering
78,79,,https://en.wikipedia.org/wiki/Psalms#Numbering
79,80,,https://en.wikipedia.org/wiki/Psalms#Numbering
80,81,,https://en.wikipedia.org/wiki/Psalms#Numbering
81,82,,https://en.wikipedia.org/wiki/Psalms#Numbering
82,83,,https://en.wikipedia.org/wiki/Psalms#Numbering
83,84,,https://en.wikipedia.org/wiki/Psalms#Numbering
84,85,,https://en.wikipedia.org/wiki/Psalms#Numbering
85,86,,https://en.wikipedia.org/wiki/Psalms#Numbering
86,87,,https://en.wikipedia.org/wiki/Psalms#Numbering
87,88,,https://en.wikipedia.org/wiki/Psalms#Numbering
88,89,,https://en.wikipedia.org/wiki/Psalms#Numbering
89,90,,https://en.wikipedia.org/wiki/Psalms#Numbering
90,91,,https://en.wikipedia.org/wiki/Psalms#Numbering
91,92,,https://en.wikipedia.org/wiki/Psalms#Numbering
92,93,,https://en.wikipedia.org/wiki/Psalms#Numbering
93,94,,https://en.wikipedia.org/wiki/Psalms#Numbering
94,95,,https://en.wikipedia.org/wiki/Psalms#Numbering
95,96,,https://en.wikipedia.org/wiki/Psalms#Numbering
96,97,,https://en.wikipedia.org/wiki/Psalms#Numbering
97,98,,https://en.wikipedia.org/wiki/Psalms#Numbering
98,99,,https://en.wikipedia.org/wiki/Psalms#Numbering
99,100,,https://en.wikipedia.org/wiki/Psalms#Numbering
100,101,,https://en.wikipedia.org/wiki/Psalms#Numbering
101,102,,https://en.wikipedia.org/wiki/Psalms#Numbering
102,103,,https://en.wikipedia.org/wiki/Psalms#Numbering
103,104,,https://en.wikipedia.org/wiki/Psalms#Numbering
104,105,,https://en.wikipedia.org/wiki/Psalms#Numbering
105,106,,https://en.wikipedia.org/wiki/Psalms#Numbering
106,107,,https://en.wikipedia.org/wiki/Psalms#Numbering
107,108,,https://en.wikipedia.org/wiki/Psalms#Numbering
108,109,,https://en.wikipedia.org/wiki/Psalms#Numbering
109,110,,https://en.wikipedia.org/wiki/Psalms#Numbering
110,111,,https://en.wikipedia.org/wiki/Psalms#Numbering
111,112,,https://en.wikipedia.org/wiki/Psalms#Numbering
112,113,,https://en.wikipedia.org/wiki/Psalms#Numbering
113,114-115,Requires range handling,https://en.wikipedia.org/wiki/Psalms#Numbering
114,116:1-9,Requires range handling,https://en.wikipedia.org/wiki/Psalms#Numbering
115,116:10-19,Requires range handling,https://en.wikipedia.org/wiki/Psalms#Numbering
116,117,,https://en.wikipedia.org/wiki/Psalms#Numbering
117,118,,https://en.wikipedia.org/wiki/Psalms#Numbering
118,119,,https://en.wikipedia.org/wiki/Psalms#Numbering
119,120,,https://en.wikipedia.org/wiki/Psalms#Numbering
120,121,,https://en.wikipedia.org/wiki/Psalms#Numbering
121,122,,https://en.wikipedia.org/wiki/Psalms#Numbering
122,123,,https://en.wikipedia.org/wiki/Psalms#Numbering
123,124,,https://en.wikipedia.org/wiki/Psalms#Numbering
124,125,,https://en.wikipedia.org/wiki/Psalms#Numbering
125,126,,https://en.wikipedia.org/wiki/Psalms#Numbering
126,127,,https://en.wikipedia.org/wiki/Psalms#Numbering
127,128,,https://en.wikipedia.org/wiki/Psalms#Numbering
128,129,,https://en.wikipedia.org/wiki/Psalms#Numbering
129,130,,https://en.wikipedia.org/wiki/Psalms#Numbering
130,131,,https://en.wikipedia.org/wiki/Psalms#Numbering
131,132,,https://en.wikipedia.org/wiki/Psalms#Numbering
132,133,,https://en.wikipedia.org/wiki/Psalms#Numbering
133,134,,https://en.wikipedia.org/wiki/Psalms#Numbering
134,135,,https://en.wikipedia.org/wiki/Psalms#Numbering
135,136,,https://en.wikipedia.org/wiki/Psalms#Numbering
136,137,,https://en.wikipedia.org/wiki/Psalms#Numbering
137,138,,https://en.wikipedia.org/wiki/Psalms#Numbering
138,139,,https://en.wikipedia.org/wiki/Psalms#Numbering
139,140,,https://en.wikipedia.org/wiki/Psalms#Numbering
140,141,,https://en.wikipedia.org/wiki/Psalms#Numbering
141,142,,https://en.wikipedia.org/wiki/Psalms#Numbering
142,143,,https://en.wikipedia.org/wiki/Psalms#Numbering
143,144,,https://en.wikipedia.org/wiki/Psalms#Numbering
144,145,,https://en.wikipedia.org/wiki/Psalms#Numbering
145,146,,https://en.wikipedia.org/wiki/Psalms#Numbering
146,147:1-11,Requires range handling,https://en.wikipedia.org/wiki/Psalms#Numbering
147,147:12-20,Requires range handling,https://en.wikipedia.org/wiki/Psalms#Numbering
148,148,,https://en.wikipedia.org/wiki/Psalms#Numbering
149,149,,https://en.wikipedia.org/wiki/Psalms#Numbering
150,150,,https://en.wikipedia.org/wiki/Psalms#Numbering
