planet,pentacle,psalm_number,verses,tradition,source_title,source_path
Saturn,1,2,,Key of Solomon,Key of Solomon – Book II (in-repo digest),docs/source_texts/key_of_solomon_book2.md#saturn-1
Saturn,1,54,,Key of Solomon,Key of Solomon – Book II (in-repo digest),docs/source_texts/key_of_solomon_book2.md#saturn-1
Saturn,1,113,,Key of Solomon,Key of Solomon – Book II (in-repo digest),docs/source_texts/key_of_solomon_book2.md#saturn-1
Saturn,1,67,,Key of Solomon,Key of Solomon – Book II (in-repo digest),docs/source_texts/key_of_solomon_book2.md#saturn-1
Saturn,1,47,,Key of Solomon,Key of Solomon – Book II (in-repo digest),docs/source_texts/key_of_solomon_book2.md#saturn-1
Saturn,1,68,,Key of Solomon,Key of Solomon – Book II (in-repo digest),docs/source_texts/key_of_solomon_book2.md#saturn-1
Saturn,1,60,4,Key of Solomon,Key of Solomon – Book II (in-repo digest),docs/source_texts/key_of_solomon_book2.md#saturn-1
Saturn,1,21,,Key of Solomon,Key of Solomon – Book II (in-repo digest),docs/source_texts/key_of_solomon_book2.md#saturn-1
Saturn,1,72,9,Key of Solomon,Key of Solomon – Book II (in-repo digest),docs/source_texts/key_of_solomon_book2.md#saturn-1
Saturn,2,72,8,Key of Solomon,Key of Solomon – Book II (in-repo digest),docs/source_texts/key_of_solomon_book2.md#saturn-2
Saturn,3,,,Key of Solomon,Key of Solomon – Book II (in-repo digest),docs/source_texts/key_of_solomon_book2.md#saturn-3
Saturn,4,109,18,Key of Solomon,Key of Solomon – Book II (in-repo digest),docs/source_texts/key_of_solomon_book2.md#saturn-4
Saturn,5,,,Key of Solomon,Key of Solomon – Book II (in-repo digest),docs/source_texts/key_of_solomon_book2.md#saturn-5
Saturn,6,108,6,Key of Solomon,Key of Solomon – Book II (in-repo digest),docs/source_texts/key_of_solomon_book2.md#saturn-6
Saturn,7,18,7,Key of Solomon,Key of Solomon – Book II (in-repo digest),docs/source_texts/key_of_solomon_book2.md#saturn-7
Jupiter,1,,,Key of Solomon,Key of Solomon – Book II (in-repo digest),docs/source_texts/key_of_solomon_book2.md#jupiter-1
Jupiter,2,112,3,Key of Solomon,Key of Solomon – Book II (in-repo digest),docs/source_texts/key_of_solomon_book2.md#jupiter-2
Jupiter,3,125,1,Key of Solomon,Key of Solomon – Book II (in-repo digest),docs/source_texts/key_of_solomon_book2.md#jupiter-3
Jupiter,4,112,3,Key of Solomon,Key of Solomon – Book II (in-repo digest),docs/source_texts/key_of_solomon_book2.md#jupiter-4
Jupiter,5,113,7,Key of Solomon,Key of Solomon – Book II (in-repo digest),docs/source_texts/key_of_solomon_book2.md#jupiter-5
Jupiter,6,22,16,Key of Solomon,Key of Solomon – Book II (in-repo digest),docs/source_texts/key_of_solomon_book2.md#jupiter-6
Jupiter,7,113,7,Key of Solomon,Key of Solomon – Book II (in-repo digest),docs/source_texts/key_of_solomon_book2.md#jupiter-7
Mars,1,,,Key of Solomon,Key of Solomon – Book II (in-repo digest),docs/source_texts/key_of_solomon_book2.md#mars-1
Mars,2,,,Key of Solomon,Key of Solomon – Book II (in-repo digest),docs/source_texts/key_of_solomon_book2.md#mars-2
Mars,3,77,13,Key of Solomon,Key of Solomon – Book II (in-repo digest),docs/source_texts/key_of_solomon_book2.md#mars-3
Mars,4,110,5,Key of Solomon,Key of Solomon – Book II (in-repo digest),docs/source_texts/key_of_solomon_book2.md#mars-4
Mars,5,91,13,Key of Solomon,Key of Solomon – Book II (in-repo digest),docs/source_texts/key_of_solomon_book2.md#mars-5
Mars,6,37,15,Key of Solomon,Key of Solomon – Book II (in-repo digest),docs/source_texts/key_of_solomon_book2.md#mars-6
Mars,7,105,32,Key of Solomon,Key of Solomon – Book II (in-repo digest),docs/source_texts/key_of_solomon_book2.md#mars-7
Sun,1,,,Key of Solomon,Key of Solomon – Book II (in-repo digest),docs/source_texts/key_of_solomon_book2.md#sun-1
Sun,2,,,Key of Solomon,Key of Solomon – Book II (in-repo digest),docs/source_texts/key_of_solomon_book2.md#sun-2
Sun,3,,,Key of Solomon,Key of Solomon – Book II (in-repo digest),docs/source_texts/key_of_solomon_book2.md#sun-3
Sun,4,13,3-4-5,Key of Solomon,Key of Solomon – Book II (in-repo digest),docs/source_texts/key_of_solomon_book2.md#sun-4
Sun,5,91,11,Key of Solomon,Key of Solomon – Book II (in-repo digest),docs/source_texts/key_of_solomon_book2.md#sun-5
Sun,6,69,23,Key of Solomon,Key of Solomon – Book II (in-repo digest),docs/source_texts/key_of_solomon_book2.md#sun-6
Sun,6,135,16,Key of Solomon,Key of Solomon – Book II (in-repo digest),docs/source_texts/key_of_solomon_book2.md#sun-6
Sun,7,116,16,Key of Solomon,Key of Solomon – Book II (in-repo digest),docs/source_texts/key_of_solomon_book2.md#sun-7
Venus,1,,,Key of Solomon,Key of Solomon – Book II (in-repo digest),docs/source_texts/key_of_solomon_book2.md#venus-1
